                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.40669,                0.41409,                0.95731,                 0.9905,                      1,                  0.995,                0.94362,                0.30031,                0.27122,                0.86665,               0.003598,               0.003598,               0.003598
                     99,                0.40517,                0.44812,                0.95829,                0.99041,                0.98304,                  0.995,                0.94641,                0.29306,                0.30069,                0.85613,               0.003532,               0.003532,               0.003532
                    100,                0.40994,                0.44215,                0.96148,                0.98659,                0.99719,                  0.995,                0.94729,                0.30796,                0.26983,                0.86239,               0.003466,               0.003466,               0.003466
                    101,                0.41157,                0.41314,                 0.9678,                0.99007,                0.99856,                  0.995,                0.94861,                0.31215,                0.27047,                0.85932,                 0.0034,                 0.0034,                 0.0034
                    102,                0.38372,                0.43571,                0.94114,                0.99316,                      1,                  0.995,                0.95522,                0.30604,                0.24651,                0.85615,               0.003334,               0.003334,               0.003334
                    103,                0.41069,                0.44865,                0.96988,                 0.9936,                      1,                  0.995,                0.94808,                0.33102,                0.26579,                0.86479,               0.003268,               0.003268,               0.003268
                    104,                0.40265,                0.42925,                 0.9578,                0.99404,                      1,                  0.995,                0.95638,                0.31465,                0.26662,                0.86149,               0.003202,               0.003202,               0.003202
                    105,                0.40545,                0.41826,                0.96516,                0.96662,                      1,                  0.995,                0.95195,                0.28393,                0.33127,                0.84828,               0.003136,               0.003136,               0.003136
                    106,                 0.3715,                0.41937,                0.95583,                0.99225,                      1,                  0.995,                0.95458,                0.28798,                0.25692,                0.84594,                0.00307,                0.00307,                0.00307
                    107,                 0.3847,                0.38666,                0.94214,                0.99369,                      1,                  0.995,                0.95358,                0.31415,                0.27598,                0.85672,               0.003004,               0.003004,               0.003004
                    108,                0.39484,                0.42923,                0.94374,                0.99388,                      1,                  0.995,                0.95265,                0.31203,                0.27106,                0.86023,               0.002938,               0.002938,               0.002938
                    109,                0.40405,                0.42348,                0.97095,                 0.9913,                      1,                  0.995,                0.95847,                0.29701,                0.26609,                0.85121,               0.002872,               0.002872,               0.002872
                    110,                 0.4152,                0.45091,                0.97532,                0.99379,                      1,                  0.995,                0.96281,                  0.273,                0.25644,                0.83733,               0.002806,               0.002806,               0.002806
                    111,                0.36947,                0.42407,                0.95264,                0.99333,                      1,                  0.995,                0.96577,                0.26666,                0.26265,                0.83721,                0.00274,                0.00274,                0.00274
                    112,                0.38546,                0.41069,                0.94129,                0.98778,                      1,                  0.995,                0.96005,                0.26676,                0.27243,                0.84113,               0.002674,               0.002674,               0.002674
                    113,                0.40427,                  0.404,                0.95809,                0.99391,                      1,                  0.995,                0.95944,                0.26723,                0.23545,                0.84464,               0.002608,               0.002608,               0.002608
                    114,                0.34014,                0.40023,                0.92789,                0.99462,                      1,                  0.995,                0.95209,                0.29326,                0.25551,                0.84868,               0.002542,               0.002542,               0.002542
                    115,                0.37087,                 0.4257,                0.92942,                0.99372,                      1,                  0.995,                0.95232,                0.27536,                0.24025,                0.84628,               0.002476,               0.002476,               0.002476
                    116,                0.35196,                0.38268,                0.92037,                0.99502,                      1,                  0.995,                0.94949,                0.27432,                0.22416,                0.84684,                0.00241,                0.00241,                0.00241
                    117,                0.38403,                0.39465,                0.95139,                0.99026,                      1,                  0.995,                0.94662,                0.30055,                0.24503,                0.85199,               0.002344,               0.002344,               0.002344
                    118,                0.34335,                0.37008,                0.92834,                0.99283,                      1,                  0.995,                0.94784,                0.30645,                0.24594,                0.85327,               0.002278,               0.002278,               0.002278
                    119,                 0.3633,                 0.3923,                0.96231,                0.99396,                      1,                  0.995,                0.95712,                0.28195,                0.23444,                0.84553,               0.002212,               0.002212,               0.002212
                    120,                0.35959,                 0.3846,                0.92343,                0.99447,                      1,                  0.995,                0.95931,                0.26414,                 0.2265,                0.84114,               0.002146,               0.002146,               0.002146
                    121,                0.34963,                0.37402,                0.92833,                0.99493,                      1,                  0.995,                0.95134,                0.26883,                0.23294,                0.84272,                0.00208,                0.00208,                0.00208
