                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.55595,                0.62618,                 1.0213,                0.99236,                      1,                  0.995,                0.91308,                0.40488,                0.38331,                0.93987,              0.0093565,              0.0093565,              0.0093565
                     67,                0.53988,                0.61584,                 1.0132,                0.91099,                0.89614,                0.91722,                0.84359,                0.39621,                0.76315,                0.94609,              0.0093466,              0.0093466,              0.0093466
                     68,                0.58334,                0.63376,                 1.0494,                0.91098,                  0.922,                0.95033,                 0.8817,                0.40246,                0.71525,                0.94067,              0.0093367,              0.0093367,              0.0093367
                     69,                0.56941,                 0.6028,                 1.0273,                0.90717,                      1,                  0.995,                0.91187,                0.41693,                0.49083,                0.94616,              0.0093268,              0.0093268,              0.0093268
                     70,                0.54905,                 0.5833,                 1.0228,                0.86692,                0.94651,                0.98379,                0.90002,                0.37494,                0.63943,                0.93374,              0.0093169,              0.0093169,              0.0093169
                     71,                 0.5549,                0.59652,                 1.0436,                0.98835,                      1,                  0.995,                0.90775,                 0.3844,                0.37711,                  0.925,               0.009307,               0.009307,               0.009307
                     72,                0.52747,                0.55603,                 1.0103,                0.91543,                 0.9528,                0.98818,                0.92033,                0.38805,                0.52903,                0.93411,              0.0092971,              0.0092971,              0.0092971
                     73,                0.55071,                0.63934,                  1.038,                0.99113,                      1,                  0.995,                0.92967,                0.42363,                0.40151,                 0.9728,              0.0092872,              0.0092872,              0.0092872
                     74,                0.56993,                0.55496,                 1.0208,                0.96381,                0.99471,                  0.995,                0.92946,                0.42452,                0.38962,                 0.9574,              0.0092773,              0.0092773,              0.0092773
                     75,                0.55795,                 0.5919,                 1.0288,                0.98281,                0.99799,                  0.995,                0.93465,                0.40861,                  0.357,                0.94211,              0.0092674,              0.0092674,              0.0092674
                     76,                0.51594,                 0.5722,                0.99463,                0.99159,                      1,                  0.995,                0.92324,                0.42053,                0.34448,                  0.957,              0.0092575,              0.0092575,              0.0092575
                     77,                0.55892,                0.56283,                 1.0151,                0.98673,                      1,                  0.995,                0.93211,                0.38394,                0.35277,                0.93699,              0.0092476,              0.0092476,              0.0092476
                     78,                0.57102,                0.58347,                 1.0233,                 0.9881,                      1,                  0.995,                0.92278,                0.41092,                0.35035,                0.93999,              0.0092377,              0.0092377,              0.0092377
                     79,                0.53546,                0.51098,                 1.0135,                0.99204,                      1,                  0.995,                0.93666,                0.37019,                0.41115,                0.92207,              0.0092278,              0.0092278,              0.0092278
